Apr 1854,1.4,0,7
May 1854,6.2,0,4.6
Jun 1854,4.7,0,2.5
Jul 1854,150,0,9.6
Aug 1854,328.5,0.4,11.9
Sep 1854,312.2,32.1,27.7
Oct 1854,197,51.7,50.1
Nov 1854,340.6,115.8,42.8
Dec 1854,631.5,41.7,48
Jan 1855,1022.8,30.7,120
Feb 1855,822.8,16.3,140.1
Mar 1855,480.3,12.8,68.6
Apr 1855,177.5,17.9,21.2
May 1855,171.8,16.6,12.5
Jun 1855,247.6,64.5,9.6
Jul 1855,107.5,37.7,9.3
Aug 1855,129.9,44.1,6.7
Sep 1855,47.5,69.4,5
Oct 1855,32.8,13.6,4.6
Nov 1855,56.4,10.5,10.1
Dec 1855,25.3,5,7.8
Jan 1856,11.4,0.5,13
Feb 1856,6.6,0,5.2
Mar 1856,3.9,0,9.1
